wavelength-um            Radiance-case1           Radiance-case2           Radiance-case3           
2.000000000000000111e-01 3.057843735190911350e+00 1.776678318898919073e+01 4.380784968702068483e+01
2.138138138138138133e-01 4.915806925436119634e+00 2.983478218918381231e+01 9.587948856088048899e+01
2.276276276276276433e-01 7.298792830354894789e+00 4.252813072962578644e+01 1.285638039526613170e+02
2.414414414414414456e-01 1.022835766124197399e+01 5.827172229185208607e+01 1.638724779070382453e+02
2.552552552552552756e-01 1.353480977189662937e+01 7.675820089387124767e+01 2.183142140573896199e+02
2.690690690690690778e-01 1.744159162621840764e+01 9.701863811923644221e+01 2.535954087424153158e+02
2.828828828828828801e-01 2.150114547942599685e+01 1.172656481777900694e+02 3.113277111719365280e+02
2.966966966966967378e-01 2.567486203634711472e+01 1.393144028782411397e+02 3.749206787033454589e+02
3.105105105105105401e-01 2.961897430012728449e+01 1.613457880604475747e+02 4.003139030606031383e+02
3.243243243243243423e-01 3.381506151869423604e+01 1.818630470035029703e+02 4.311147937064118878e+02
3.381381381381381446e-01 3.778227913748475686e+01 2.015160976447990606e+02 4.774160030046122074e+02
3.519519519519519468e-01 4.148158716662153722e+01 2.179778115487783055e+02 5.104628321060747567e+02
3.657657657657658046e-01 4.444826146694091307e+01 2.344940622404699582e+02 5.213570617651330394e+02
3.795795795795796068e-01 4.772832566499437235e+01 2.496053663284281470e+02 5.744844467719391332e+02
3.933933933933934091e-01 5.025202016776812286e+01 2.621576508323414032e+02 6.187001872645456615e+02
4.072072072072072668e-01 5.278293841598554081e+01 2.728839444766975362e+02 6.167829311372344137e+02
4.210210210210210136e-01 5.464664962357963418e+01 2.808897681619592959e+02 6.208841649811146226e+02
4.348348348348348713e-01 5.620904461618451364e+01 2.874472754710764093e+02 6.216221216614804916e+02
4.486486486486486736e-01 5.734985911365640732e+01 2.925641442019421561e+02 6.216160240694557615e+02
4.624624624624624758e-01 5.854025453478536178e+01 2.973507951410799706e+02 6.296747479254183872e+02
4.762762762762762780e-01 5.918104897140943166e+01 2.996627929645094923e+02 6.505452575962070796e+02
4.900900900900901358e-01 5.945406749838090121e+01 3.003581597291707794e+02 6.382568171415598499e+02
5.039039039039039380e-01 5.958414160123996339e+01 3.000014075521481800e+02 6.302681163030472362e+02
5.177177177177176848e-01 5.977501462991686765e+01 2.983342258189678091e+02 6.229223881206906981e+02
5.315315315315315425e-01 5.945673527127515712e+01 2.966182850312627579e+02 6.155953870332123188e+02
5.453453453453454003e-01 5.900586507467612307e+01 2.944375904374817878e+02 6.131235179265222541e+02
5.591591591591591470e-01 5.829217067789790718e+01 2.901569555911632960e+02 5.988302660984330714e+02
5.729729729729730048e-01 5.777524675170085544e+01 2.854710832493242378e+02 5.973444695958386319e+02
5.867867867867868625e-01 5.675261697310592979e+01 2.815371389978250249e+02 5.676623258139574091e+02
6.006006006006006093e-01 5.602237884355726294e+01 2.761353121737620882e+02 5.682933723136767412e+02
6.144144144144144670e-01 5.505513741602818811e+01 2.702099540192223230e+02 5.394668243015862572e+02
6.282282282282283248e-01 5.390326410684815528e+01 2.642346976904427720e+02 5.498350116214908212e+02
6.420420420420420715e-01 5.275702886935936675e+01 2.594501187739550119e+02 5.453745911142739260e+02
6.558558558558558182e-01 5.166111557391040066e+01 2.517298072455604654e+02 5.111016389243066556e+02
6.696696696696696760e-01 5.027174871416864477e+01 2.465367371921404640e+02 5.372762155001705651e+02
6.834834834834835338e-01 4.923408235321582538e+01 2.414757818597274763e+02 5.255740784728283188e+02
6.972972972972972805e-01 4.793100366609838403e+01 2.343779646165279189e+02 5.337520636213911303e+02
7.111111111111112493e-01 4.665144666492226122e+01 2.279428654477867440e+02 5.391330901657837558e+02
7.249249249249249960e-01 4.538071514295083375e+01 2.229130490190849798e+02 5.235164846509396739e+02
7.387387387387387427e-01 4.430770123071745559e+01 2.157873116271446463e+02 5.288865367408487828e+02
7.525525525525524895e-01 4.321242551749872973e+01 2.099154201411239740e+02 5.505169742494452976e+02
7.663663663663664583e-01 4.190748079320433561e+01 2.035809166270498736e+02 5.609093027042115409e+02
7.801801801801802050e-01 4.074455240155121771e+01 1.979123502332651583e+02 5.695859650120256674e+02
7.939939939939939517e-01 3.935572308788680118e+01 1.942993312181801571e+02 5.961637662742492694e+02
8.078078078078079205e-01 3.827438061167458017e+01 1.878352495993950413e+02 6.055426945169241435e+02
8.216216216216216672e-01 3.736995289114998542e+01 1.830571656583528579e+02 6.336662160291953114e+02
8.354354354354354140e-01 3.611817075103649444e+01 1.788095421086930230e+02 6.543803761985412848e+02
8.492492492492493827e-01 3.516191625131020970e+01 1.742002332486206626e+02 6.961924864561482309e+02
8.630630630630631295e-01 3.396625927591301064e+01 1.703240233724686448e+02 6.984114180505662262e+02
8.768768768768768762e-01 3.306259343509693593e+01 1.665187134333675374e+02 7.476749903441339029e+02
8.906906906906906229e-01 3.215511281421549228e+01 1.629641908412893088e+02 7.877705042850210475e+02
9.045045045045045917e-01 3.096667213150676190e+01 1.605227789192288412e+02 8.103765877700936926e+02
9.183183183183183385e-01 3.012000421435341124e+01 1.579506725195682861e+02 8.562235910380821906e+02
9.321321321321320852e-01 2.901610631239733706e+01 1.556858088010243932e+02 9.014996532561743834e+02
9.459459459459460540e-01 2.832839770873256668e+01 1.538744071626599350e+02 9.572262143169941737e+02
9.597597597597598007e-01 2.742139074473105964e+01 1.523133800105588307e+02 1.013591144481022070e+03
9.735735735735735474e-01 2.646108641417039209e+01 1.523055001064330725e+02 1.052162338584871122e+03
9.873873873873875162e-01 2.574959539587576884e+01 1.519466221971981099e+02 1.122721105972147143e+03
1.001201201201201263e+00 2.494884521512227593e+01 1.523324064862245280e+02 1.161478858009842270e+03
1.015015015015015010e+00 2.421543589606035596e+01 1.525590253173399162e+02 1.242867405789530039e+03
1.028828828828828978e+00 2.342711973473402409e+01 1.541002402810839556e+02 1.302243316768679279e+03
1.042642642642642725e+00 2.255995530052422282e+01 1.568588357089643353e+02 1.372540331351375471e+03
1.056456456456456472e+00 2.200363432899906613e+01 1.589433256444648634e+02 1.418978185943756444e+03
